fighter1_name,fighter2_name,fighter1_odds,fighter2_odds,fighter1_implied_prob,fighter2_implied_prob,opening_odds_f1,opening_odds_f2,line_movement_f1,line_movement_f2,odds_spread,event_name,source,f1_is_favorite,is_competitive_matchup,has_heavy_favorite,big_line_movement
Julio Arce,Montel Jackson,-341,261,0.7732426303854876,0.2770083102493075,-370,290,29,-29,0.4962343201361801,UFC 281: Adesanya vs. Pereira ,Synthetic,1,0,1,0
Carlos Ulberg,Nicolae Negumereanu,-230,183,0.696969696969697,0.35335689045936397,-227,180,-3,3,0.34361280651033305,UFC 281: Adesanya vs. Pereira ,Synthetic,1,0,0,0
Marina Rodriguez,Amanda Lemos,-154,125,0.6062992125984252,0.4444444444444444,-182,153,28,-28,0.1618547681539808,UFC Fight Night: Rodriguez vs. Lemos ,Synthetic,1,0,0,0
Neil Magny,Daniel Rodriguez,217,-278,0.31545741324921134,0.7354497354497355,200,-261,17,-17,0.4199923222005241,UFC Fight Night: Rodriguez vs. Lemos ,Synthetic,0,0,1,0
Darrick Minner,Shayilan Nuerdanbieke,111,-136,0.47393364928909953,0.576271186440678,102,-127,9,-9,0.10233753715157845,UFC Fight Night: Rodriguez vs. Lemos ,Synthetic,0,0,0,0
Tagir Ulanbekov,Nate Maness,233,-300,0.3003003003003003,0.75,235,-302,-2,2,0.4496996996996997,UFC Fight Night: Rodriguez vs. Lemos ,Synthetic,0,0,1,0
Grant Dawson,Mark Madsen,-377,285,0.790356394129979,0.2597402597402597,-360,268,-17,17,0.5306161343897193,UFC Fight Night: Rodriguez vs. Lemos ,Synthetic,1,0,1,0
Miranda Maverick,Shanna Young,-266,209,0.726775956284153,0.32362459546925565,-265,208,-1,1,0.4031513608148974,UFC Fight Night: Rodriguez vs. Lemos ,Synthetic,1,0,1,0
Mario Bautista,Benito Lopez,-288,224,0.7422680412371134,0.30864197530864196,-270,206,-18,18,0.43362606592847147,UFC Fight Night: Rodriguez vs. Lemos ,Synthetic,1,0,1,0
Polyana Viana,Jinh Yu Frey,-336,257,0.7706422018348624,0.2801120448179272,-360,281,24,-24,0.49053015701693525,UFC Fight Night: Rodriguez vs. Lemos ,Synthetic,1,0,1,0
Liudvik Sholinian,Johnny Munoz,158,-197,0.3875968992248062,0.6632996632996633,132,-171,26,-26,0.27570276407485705,UFC Fight Night: Rodriguez vs. Lemos ,Synthetic,0,0,0,0
Carlos Candelario,Jake Hadley,183,-231,0.35335689045936397,0.6978851963746223,163,-211,20,-20,0.34452830591525835,UFC Fight Night: Rodriguez vs. Lemos ,Synthetic,0,0,0,0
Tamires Vidal,Ramona Pascual,261,-341,0.2770083102493075,0.7732426303854876,244,-324,17,-17,0.4962343201361801,UFC Fight Night: Rodriguez vs. Lemos ,Synthetic,0,0,1,0
Calvin Kattar,Arnold Allen,211,-269,0.3215434083601286,0.7289972899728997,214,-272,-3,3,0.4074538816127711,UFC Fight Night: Kattar vs. Allen ,Synthetic,0,0,1,0
Tim Means,Max Griffin,285,-377,0.2597402597402597,0.790356394129979,310,-402,-25,25,0.5306161343897193,UFC Fight Night: Kattar vs. Allen ,Synthetic,0,0,1,0
Waldo Cortes Acosta,Jared Vanderaa,-151,123,0.601593625498008,0.4484304932735426,-124,96,-27,27,0.15316313222446537,UFC Fight Night: Kattar vs. Allen ,Synthetic,1,0,0,0
Josh Fremd,Tresean Gore,229,-294,0.303951367781155,0.7461928934010152,215,-280,14,-14,0.44224152561986024,UFC Fight Night: Kattar vs. Allen ,Synthetic,0,0,1,0
Dustin Jacoby,Khalil Rountree Jr.,207,-264,0.3257328990228013,0.7252747252747253,222,-279,-15,15,0.39954182625192397,UFC Fight Night: Kattar vs. Allen ,Synthetic,0,0,1,0
Phil Hawes,Roman Dolidze,205,-260,0.32786885245901637,0.7222222222222222,208,-263,-3,3,0.39435336976320584,UFC Fight Night: Kattar vs. Allen ,Synthetic,0,0,1,0
Andrei Arlovski,Marcos Rogerio de Lima,-143,116,0.588477366255144,0.46296296296296297,-118,91,-25,25,0.12551440329218105,UFC Fight Night: Kattar vs. Allen ,Synthetic,1,0,0,0
Joseph Holmes,JunYong Park,264,-346,0.27472527472527475,0.7757847533632287,288,-370,-24,24,0.501059478637954,UFC Fight Night: Kattar vs. Allen ,Synthetic,0,0,1,0
Chase Hooper,Steve Garcia,-215,172,0.6825396825396826,0.36764705882352944,-186,143,-29,29,0.3148926237161531,UFC Fight Night: Kattar vs. Allen ,Synthetic,1,0,0,0
Cody Durden,Carlos Mota,115,-141,0.46511627906976744,0.5850622406639004,109,-135,6,-6,0.11994596159413301,UFC Fight Night: Kattar vs. Allen ,Synthetic,0,0,0,0
Christian Rodriguez,Joshua Weems,-145,118,0.5918367346938775,0.45871559633027525,-147,120,2,-2,0.1331211383636023,UFC Fight Night: Kattar vs. Allen ,Synthetic,1,0,0,0
Charles Oliveira,Islam Makhachev,243,-315,0.2915451895043732,0.7590361445783133,222,-294,21,-21,0.46749095507394006,UFC 280: Oliveira vs. Makhachev ,Synthetic,0,0,1,0
Aljamain Sterling,TJ Dillashaw,213,-272,0.3194888178913738,0.7311827956989247,189,-248,24,-24,0.41169397780755096,UFC 280: Oliveira vs. Makhachev ,Synthetic,0,0,1,0
Petr Yan,Sean O'Malley,-191,154,0.6563573883161512,0.3937007874015748,-200,163,9,-9,0.2626566009145764,UFC 280: Oliveira vs. Makhachev ,Synthetic,1,0,0,0
Beneil Dariush,Mateusz Gamrot,223,-286,0.30959752321981426,0.7409326424870466,218,-281,5,-5,0.43133511926723234,UFC 280: Oliveira vs. Makhachev ,Synthetic,0,0,1,0
Katlyn Cerminara,Manon Fiorot,145,-180,0.40816326530612246,0.6428571428571429,122,-157,23,-23,0.23469387755102045,UFC 280: Oliveira vs. Makhachev ,Synthetic,0,0,0,0
Belal Muhammad,Sean Brady,143,-177,0.411522633744856,0.6389891696750902,127,-161,16,-16,0.22746653593023425,UFC 280: Oliveira vs. Makhachev ,Synthetic,0,0,0,0
Makhmud Muradov,Caio Borralho,126,-156,0.4424778761061947,0.609375,128,-158,-2,2,0.1668971238938053,UFC 280: Oliveira vs. Makhachev ,Synthetic,0,0,0,0
Volkan Oezdemir,Nikita Krylov,114,-140,0.4672897196261682,0.5833333333333334,90,-116,24,-24,0.11604361370716515,UFC 280: Oliveira vs. Makhachev ,Synthetic,0,0,0,0
Abubakar Nurmagomedov,Gadzhi Omargadzhiev,-349,266,0.77728285077951,0.273224043715847,-339,256,-10,10,0.5040588070636629,UFC 280: Oliveira vs. Makhachev ,Synthetic,1,0,1,0
Armen Petrosyan,AJ Dobson,-183,147,0.6466431095406361,0.4048582995951417,-172,136,-11,11,0.2417848099454944,UFC 280: Oliveira vs. Makhachev ,Synthetic,1,0,0,0
Muhammad Mokaev,Malcolm Gordon,223,-286,0.30959752321981426,0.7409326424870466,241,-304,-18,18,0.43133511926723234,UFC 280: Oliveira vs. Makhachev ,Synthetic,0,0,1,0
Karol Rosa,Lina Lansberg,266,-348,0.273224043715847,0.7767857142857143,273,-355,-7,7,0.5035616705698673,UFC 280: Oliveira vs. Makhachev ,Synthetic,0,0,1,0
Alexa Grasso,Viviane Araujo,289,-384,0.2570694087403599,0.7933884297520661,290,-385,-1,1,0.5363190210117063,UFC Fight Night: Grasso vs. Araujo ,Synthetic,0,0,1,0
Cub Swanson,Jonathan Martinez,277,-366,0.26525198938992045,0.7854077253218884,300,-389,-23,23,0.520155735931968,UFC Fight Night: Grasso vs. Araujo ,Synthetic,0,0,1,0
Jordan Wright,Dusko Todorovic,171,-214,0.36900369003690037,0.6815286624203821,199,-242,-28,28,0.31252497238348176,UFC Fight Night: Grasso vs. Araujo ,Synthetic,0,0,0,0
Raphael Assuncao,Victor Henry,232,-299,0.30120481927710846,0.7493734335839599,234,-301,-2,2,0.44816861430685145,UFC Fight Night: Grasso vs. Araujo ,Synthetic,0,0,1,0
Misha Cirkunov,Alonzo Menifield,-394,296,0.7975708502024291,0.25252525252525254,-384,286,-10,10,0.5450455976771766,UFC Fight Night: Grasso vs. Araujo ,Synthetic,1,0,1,0
Mana Martinez,Brandon Davis,-242,192,0.7076023391812866,0.3424657534246575,-214,164,-28,28,0.36513658575662905,UFC Fight Night: Grasso vs. Araujo ,Synthetic,1,0,1,0
Nick Maximov,Jacob Malkoun,225,-289,0.3076923076923077,0.7429305912596401,206,-270,19,-19,0.4352382835673324,UFC Fight Night: Grasso vs. Araujo ,Synthetic,0,0,1,0
Joanderson Brito,Lucas Alexander,-164,133,0.6212121212121212,0.4291845493562232,-141,110,-23,23,0.19202757185589803,UFC Fight Night: Grasso vs. Araujo ,Synthetic,1,0,0,0
Piera Rodriguez,Sam Hughes,110,-135,0.47619047619047616,0.574468085106383,106,-131,4,-4,0.09827760891590687,UFC Fight Night: Grasso vs. Araujo ,Synthetic,0,1,0,0
Tatsuro Taira,CJ Vergara,-283,221,0.7389033942558747,0.3115264797507788,-265,203,-18,18,0.4273769145050959,UFC Fight Night: Grasso vs. Araujo ,Synthetic,1,0,1,0
Mike Jackson,Pete Rodriguez,134,-166,0.42735042735042733,0.6240601503759399,126,-158,8,-8,0.19670972302551254,UFC Fight Night: Grasso vs. Araujo ,Synthetic,0,0,0,0
Mackenzie Dern,Yan Xiaonan,218,-279,0.31446540880503143,0.7361477572559367,244,-305,-26,26,0.4216823484509053,UFC Fight Night: Dern vs. Yan ,Synthetic,0,0,1,0
Randy Brown,Francisco Trinaldo,-264,207,0.7252747252747253,0.3257328990228013,-270,213,6,-6,0.39954182625192397,UFC Fight Night: Dern vs. Yan ,Synthetic,1,0,1,0
Raoni Barcelos,Trevin Jones,-388,292,0.7950819672131147,0.25510204081632654,-385,289,-3,3,0.5399799263967882,UFC Fight Night: Dern vs. Yan ,Synthetic,1,0,1,0
Sodiq Yusuff,Don Shainis,-272,213,0.7311827956989247,0.3194888178913738,-273,214,1,-1,0.41169397780755096,UFC Fight Night: Dern vs. Yan ,Synthetic,1,0,1,0
Mike Davis,Viacheslav Borshchev,-198,159,0.6644295302013423,0.3861003861003861,-173,134,-25,25,0.2783291441009562,UFC Fight Night: Dern vs. Yan ,Synthetic,1,0,0,0
John Castaneda,Daniel Santos,-389,292,0.7955010224948875,0.25510204081632654,-374,277,-15,15,0.540398981678561,UFC Fight Night: Dern vs. Yan ,Synthetic,1,0,1,0
Ilir Latifi,Aleksei Oleinik,-311,240,0.7566909975669099,0.29411764705882354,-296,225,-15,15,0.4625733505080864,UFC Fight Night: Dern vs. Yan ,Synthetic,1,0,1,0
Joaquim Silva,Jesse Ronson,150,-187,0.4,0.6515679442508711,125,-162,25,-25,0.25156794425087103,UFC Fight Night: Dern vs. Yan ,Synthetic,0,0,0,0
Krzysztof Jotko,Brendan Allen,292,-389,0.25510204081632654,0.7955010224948875,318,-415,-26,26,0.540398981678561,UFC Fight Night: Dern vs. Yan ,Synthetic,0,0,1,0
Julija Stoliarenko,Chelsea Chandler,-178,144,0.6402877697841727,0.4098360655737705,-177,143,-1,1,0.23045170421040218,UFC Fight Night: Dern vs. Yan ,Synthetic,1,0,0,0
Guido Cannetti,Randy Costa,-381,287,0.7920997920997921,0.25839793281653745,-382,288,1,-1,0.5337018592832546,UFC Fight Night: Dern vs. Yan ,Synthetic,1,0,1,0
Cory Sandhagen,Song Yadong,-252,199,0.7159090909090909,0.33444816053511706,-228,175,-24,24,0.3814609303739739,UFC Fight Night: Sandhagen vs. Song ,Synthetic,1,0,1,0
Chidi Njokuani,Gregory Rodrigues,-246,194,0.7109826589595376,0.3401360544217687,-256,204,10,-10,0.3708466045377689,UFC Fight Night: Sandhagen vs. Song ,Synthetic,1,0,1,0
Andre Fili,Bill Algeo,281,-372,0.26246719160104987,0.788135593220339,280,-371,1,-1,0.5256684016192892,UFC Fight Night: Sandhagen vs. Song ,Synthetic,0,0,1,0
Joe Pyfer,Alen Amedovski,111,-137,0.47393364928909953,0.5780590717299579,92,-118,19,-19,0.10412542244085832,UFC Fight Night: Sandhagen vs. Song ,Synthetic,0,0,0,0
Tanner Boser,Rodrigo Nascimento,-304,236,0.7524752475247525,0.2976190476190476,-286,218,-18,18,0.45485619990570486,UFC Fight Night: Sandhagen vs. Song ,Synthetic,1,0,1,0
Anthony Hernandez,Marc-Andre Barriault,254,-331,0.2824858757062147,0.7679814385150812,241,-318,13,-13,0.48549556280886647,UFC Fight Night: Sandhagen vs. Song ,Synthetic,0,0,1,0
Damon Jackson,Pat Sabatini,-167,135,0.6254681647940075,0.425531914893617,-140,108,-27,27,0.19993624990039044,UFC Fight Night: Sandhagen vs. Song ,Synthetic,1,0,0,0
Trevin Giles,Louis Cosce,164,-205,0.3787878787878788,0.6721311475409836,139,-180,25,-25,0.2933432687531048,UFC Fight Night: Sandhagen vs. Song ,Synthetic,0,0,0,0
Denise Gomes,Loma Lookboonmee,-396,297,0.7983870967741935,0.2518891687657431,-396,297,0,0,0.5464979280084504,UFC Fight Night: Sandhagen vs. Song ,Synthetic,1,0,1,0
Trey Ogden,Daniel Zellhuber,-293,228,0.7455470737913485,0.3048780487804878,-292,227,-1,1,0.44066902501086075,UFC Fight Night: Sandhagen vs. Song ,Synthetic,1,0,1,0
Mariya Agapova,Gillian Robertson,-276,216,0.7340425531914894,0.31645569620253167,-275,215,-1,1,0.4175868569889577,UFC Fight Night: Sandhagen vs. Song ,Synthetic,1,0,1,0
Tony Gravely,Javid Basharat,161,-201,0.3831417624521073,0.6677740863787376,131,-171,30,-30,0.2846323239266303,UFC Fight Night: Sandhagen vs. Song ,Synthetic,0,0,0,0
Nikolas Motta,Cameron VanCamp,-325,250,0.7647058823529411,0.2857142857142857,-346,271,21,-21,0.4789915966386554,UFC Fight Night: Sandhagen vs. Song ,Synthetic,1,0,1,0
Nate Diaz,Tony Ferguson,-394,296,0.7975708502024291,0.25252525252525254,-395,297,1,-1,0.5450455976771766,UFC 279: Diaz vs. Ferguson ,Synthetic,1,0,1,0
Khamzat Chimaev,Kevin Holland,-239,189,0.7050147492625368,0.3460207612456747,-225,175,-14,14,0.3589939880168621,UFC 279: Diaz vs. Ferguson ,Synthetic,1,0,1,0
Li Jingliang,Daniel Rodriguez,201,-255,0.33222591362126247,0.7183098591549296,196,-250,5,-5,0.38608394553366715,UFC 279: Diaz vs. Ferguson ,Synthetic,0,0,1,0
Irene Aldana,Macy Chiasson,120,-148,0.45454545454545453,0.5967741935483871,125,-153,-5,5,0.1422287390029326,UFC 279: Diaz vs. Ferguson ,Synthetic,0,0,0,0
Johnny Walker,Ion Cutelaba,251,-327,0.2849002849002849,0.765807962529274,275,-351,-24,24,0.48090767762898906,UFC 279: Diaz vs. Ferguson ,Synthetic,0,0,1,0
Hakeem Dawodu,Julian Erosa,-173,140,0.6336996336996337,0.4166666666666667,-179,146,6,-6,0.21703296703296698,UFC 279: Diaz vs. Ferguson ,Synthetic,1,0,0,0
Jailton Almeida,Anton Turkalj,178,-224,0.3597122302158273,0.691358024691358,168,-214,10,-10,0.33164579447553066,UFC 279: Diaz vs. Ferguson ,Synthetic,0,0,0,0
Denis Tiuliulin,Jamie Pickett,256,-334,0.2808988764044944,0.7695852534562212,254,-332,2,-2,0.4886863770517268,UFC 279: Diaz vs. Ferguson ,Synthetic,0,0,1,0
Jake Collier,Chris Barnett,227,-292,0.3058103975535168,0.7448979591836735,230,-295,-3,3,0.4390875616301567,UFC 279: Diaz vs. Ferguson ,Synthetic,0,0,1,0
Norma Dumont,Danyelle Wolf,268,-351,0.2717391304347826,0.7782705099778271,292,-375,-24,24,0.5065313795430445,UFC 279: Diaz vs. Ferguson ,Synthetic,0,0,1,0
Chad Anheliger,Alatengheili,273,-359,0.2680965147453083,0.7821350762527233,267,-353,6,-6,0.514038561507415,UFC 279: Diaz vs. Ferguson ,Synthetic,0,0,1,0
Melissa Martinez,Elise Reed,-170,137,0.6296296296296297,0.4219409282700422,-173,140,3,-3,0.20768870135958745,UFC 279: Diaz vs. Ferguson ,Synthetic,1,0,0,0
Darian Weeks,Yohan Lainesse,-284,222,0.7395833333333334,0.3105590062111801,-257,195,-27,27,0.42902432712215327,UFC 279: Diaz vs. Ferguson ,Synthetic,1,0,1,0
Ciryl Gane,Tai Tuivasa,-340,260,0.7727272727272727,0.2777777777777778,-345,265,5,-5,0.4949494949494949,UFC Fight Night: Gane vs. Tuivasa ,Synthetic,1,0,1,0
Robert Whittaker,Marvin Vettori,147,-183,0.4048582995951417,0.6466431095406361,136,-172,11,-11,0.2417848099454944,UFC Fight Night: Gane vs. Tuivasa ,Synthetic,0,0,0,0
Nassourdine Imavov,Joaquin Buckley,-391,294,0.7963340122199593,0.25380710659898476,-418,321,27,-27,0.5425269056209745,UFC Fight Night: Gane vs. Tuivasa ,Synthetic,1,0,1,0
Alessio Di Chirico,Roman Kopylov,-243,192,0.7084548104956269,0.3424657534246575,-239,188,-4,4,0.36598905707096935,UFC Fight Night: Gane vs. Tuivasa ,Synthetic,1,0,1,0
William Gomis,Jarno Errens,293,-390,0.2544529262086514,0.7959183673469388,312,-409,-19,19,0.5414654411382873,UFC Fight Night: Gane vs. Tuivasa ,Synthetic,0,0,1,0
Charles Jourdain,Nathaniel Wood,217,-278,0.31545741324921134,0.7354497354497355,207,-268,10,-10,0.4199923222005241,UFC Fight Night: Gane vs. Tuivasa ,Synthetic,0,0,1,0
Abus Magomedov,Dustin Stoltzfus,184,-232,0.352112676056338,0.6987951807228916,206,-254,-22,22,0.3466825046665536,UFC Fight Night: Gane vs. Tuivasa ,Synthetic,0,0,0,0
John Makdessi,Nasrat Haqparast,-273,214,0.7319034852546917,0.3184713375796178,-292,233,19,-19,0.4134321476750739,UFC Fight Night: Gane vs. Tuivasa ,Synthetic,1,0,1,0
Fares Ziam,Michal Figlak,296,-394,0.25252525252525254,0.7975708502024291,284,-382,12,-12,0.5450455976771766,UFC Fight Night: Gane vs. Tuivasa ,Synthetic,0,0,1,0
Benoit Saint Denis,Gabriel Miranda,277,-365,0.26525198938992045,0.7849462365591398,252,-340,25,-25,0.5196942471692193,UFC Fight Night: Gane vs. Tuivasa ,Synthetic,0,0,1,0
Khalid Taha,Cristian Quinonez,-211,169,0.6784565916398714,0.37174721189591076,-219,177,8,-8,0.3067093797439606,UFC Fight Night: Gane vs. Tuivasa ,Synthetic,1,0,0,0
Stephanie Egger,Ailin Perez,231,-297,0.3021148036253776,0.7481108312342569,253,-319,-22,22,0.4459960276088793,UFC Fight Night: Gane vs. Tuivasa ,Synthetic,0,0,1,0
Kamaru Usman,Leon Edwards,132,-163,0.43103448275862066,0.6197718631178707,148,-179,-16,16,0.18873738035925003,UFC 278: Usman vs. Edwards ,Synthetic,0,0,0,0
Paulo Costa,Luke Rockhold,-325,250,0.7647058823529411,0.2857142857142857,-306,231,-19,19,0.4789915966386554,UFC 278: Usman vs. Edwards ,Synthetic,1,0,1,0
Jose Aldo,Merab Dvalishvili,-198,159,0.6644295302013423,0.3861003861003861,-180,141,-18,18,0.2783291441009562,UFC 278: Usman vs. Edwards ,Synthetic,1,0,0,0
Wu Yanan,Lucie Pudilova,279,-369,0.2638522427440633,0.7867803837953091,309,-399,-30,30,0.5229281410512459,UFC 278: Usman vs. Edwards ,Synthetic,0,0,1,0
Tyson Pedro,Harry Hunsucker,-262,206,0.7237569060773481,0.32679738562091504,-277,221,15,-15,0.39695952045643307,UFC 278: Usman vs. Edwards ,Synthetic,1,0,1,0
Marcin Tybura,Alexandr Romanov,286,-379,0.25906735751295334,0.791231732776618,272,-365,14,-14,0.5321643752636647,UFC 278: Usman vs. Edwards ,Synthetic,0,0,1,0
Leonardo Santos,Jared Gordon,-306,237,0.7536945812807881,0.29673590504451036,-301,232,-5,5,0.4569586762362778,UFC 278: Usman vs. Edwards ,Synthetic,1,0,1,0
Sean Woodson,Luis Saldana,237,-306,0.29673590504451036,0.7536945812807881,238,-307,-1,1,0.4569586762362778,UFC 278: Usman vs. Edwards ,Synthetic,0,0,1,0
AJ Fletcher,Ange Loosa,127,-157,0.44052863436123346,0.6108949416342413,115,-145,12,-12,0.17036630727300783,UFC 278: Usman vs. Edwards ,Synthetic,0,0,0,0
Amir Albazi,Francisco Figueiredo,-189,152,0.6539792387543253,0.3968253968253968,-187,150,-2,2,0.2571538419289285,UFC 278: Usman vs. Edwards ,Synthetic,1,0,0,0
Aoriqileng,Jay Perrin,121,-149,0.45248868778280543,0.5983935742971888,109,-137,12,-12,0.14590488651438333,UFC 278: Usman vs. Edwards ,Synthetic,0,0,0,0
Daniel Lacerda,Victor Altamirano,-258,203,0.7206703910614525,0.33003300330033003,-229,174,-29,29,0.39063738776112245,UFC 278: Usman vs. Edwards ,Synthetic,1,0,1,0
Marlon Vera,Dominick Cruz,247,-320,0.2881844380403458,0.7619047619047619,257,-330,-10,10,0.47372032386441604,UFC Fight Night: Vera vs. Cruz ,Synthetic,0,0,1,0
Nate Landwehr,David Onama,258,-337,0.27932960893854747,0.7711670480549199,244,-323,14,-14,0.4918374391163724,UFC Fight Night: Vera vs. Cruz ,Synthetic,0,0,1,0
Yazmin Jauregui,Iasmin Lucindo,194,-246,0.3401360544217687,0.7109826589595376,176,-228,18,-18,0.3708466045377689,UFC Fight Night: Vera vs. Cruz ,Synthetic,0,0,1,0
Devin Clark,Azamat Murzakanov,-196,157,0.6621621621621622,0.38910505836575876,-201,162,5,-5,0.2730571037964034,UFC Fight Night: Vera vs. Cruz ,Synthetic,1,0,0,0
Priscila Cachoeira,Ariane da Silva,-304,236,0.7524752475247525,0.2976190476190476,-329,261,25,-25,0.45485619990570486,UFC Fight Night: Vera vs. Cruz ,Synthetic,1,0,1,0
Bruno Silva,Gerald Meerschaert,166,-208,0.37593984962406013,0.6753246753246753,191,-233,-25,25,0.2993848257006152,UFC Fight Night: Vera vs. Cruz ,Synthetic,0,0,0,0
Angela Hill,Loopy Godinez,-289,225,0.7429305912596401,0.3076923076923077,-312,248,23,-23,0.4352382835673324,UFC Fight Night: Vera vs. Cruz ,Synthetic,1,0,1,0
Martin Buday,Lukasz Brzeski,-132,107,0.5689655172413793,0.4830917874396135,-117,92,-15,15,0.08587372980176583,UFC Fight Night: Vera vs. Cruz ,Synthetic,1,1,0,0
Cynthia Calvillo,Nina Nunes,-233,185,0.6996996996996997,0.3508771929824561,-221,173,-12,12,0.3488225067172436,UFC Fight Night: Vera vs. Cruz ,Synthetic,1,0,0,0
Gabriel Benitez,Charlie Ontiveros,-149,121,0.5983935742971888,0.45248868778280543,-130,102,-19,19,0.14590488651438333,UFC Fight Night: Vera vs. Cruz ,Synthetic,1,0,0,0
Ode Osbourne,Tyson Nam,172,-216,0.36764705882352944,0.6835443037974683,181,-225,-9,9,0.3158972449739389,UFC Fight Night: Vera vs. Cruz ,Synthetic,0,0,0,0
Jason Witt,Josh Quinlan,183,-231,0.35335689045936397,0.6978851963746223,213,-261,-30,30,0.34452830591525835,UFC Fight Night: Vera vs. Cruz ,Synthetic,0,0,0,0
Youssef Zalal,Da'Mon Blackshear,-316,244,0.7596153846153846,0.29069767441860467,-329,257,13,-13,0.4689177101967799,UFC Fight Night: Vera vs. Cruz ,Synthetic,1,0,1,0
Thiago Santos,Jamahal Hill,183,-230,0.35335689045936397,0.696969696969697,207,-254,-24,24,0.34361280651033305,UFC Fight Night: Santos vs. Hill ,Synthetic,0,0,0,0
Vicente Luque,Geoff Neal,174,-218,0.36496350364963503,0.6855345911949685,204,-248,-30,30,0.3205710875453335,UFC Fight Night: Santos vs. Hill ,Synthetic,0,0,0,0
Mohammed Usman,Zac Pauga,223,-286,0.30959752321981426,0.7409326424870466,222,-285,1,-1,0.43133511926723234,UFC Fight Night: Santos vs. Hill ,Synthetic,0,0,1,0
Brogan Walker,Juliana Miller,204,-259,0.32894736842105265,0.7214484679665738,196,-251,8,-8,0.39250109954552115,UFC Fight Night: Santos vs. Hill ,Synthetic,0,0,1,0
Augusto Sakai,Serghei Spivac,-310,240,0.7560975609756098,0.29411764705882354,-330,260,20,-20,0.4619799139167862,UFC Fight Night: Santos vs. Hill ,Synthetic,1,0,1,0
Terrance McKinney,Erick Gonzalez,-192,154,0.6575342465753424,0.3937007874015748,-215,177,23,-23,0.2638334591737676,UFC Fight Night: Santos vs. Hill ,Synthetic,1,0,0,0
Sam Alvey,Michal Oleksiejczuk,151,-188,0.398406374501992,0.6527777777777778,124,-161,27,-27,0.2543714032757858,UFC Fight Night: Santos vs. Hill ,Synthetic,0,0,0,0
Bryan Battle,Takashi Sato,238,-307,0.2958579881656805,0.7542997542997543,252,-321,-14,14,0.4584417661340738,UFC Fight Night: Santos vs. Hill ,Synthetic,0,0,1,0
Cory McKenna,Miranda Granger,251,-326,0.2849002849002849,0.7652582159624414,269,-344,-18,18,0.48035793106215646,UFC Fight Night: Santos vs. Hill ,Synthetic,0,0,1,0
Mayra Bueno Silva,Stephanie Egger,-300,233,0.75,0.3003003003003003,-281,214,-19,19,0.4496996996996997,UFC Fight Night: Santos vs. Hill ,Synthetic,1,0,1,0
Julianna Pena,Amanda Nunes,253,-329,0.28328611898017,0.7668997668997669,277,-353,-24,24,0.48361364791959693,UFC 277: Pena vs. Nunes 2 ,Synthetic,0,0,1,0
Brandon Moreno,Kai Kara-France,-158,128,0.6124031007751938,0.43859649122807015,-138,108,-20,20,0.17380660954712362,UFC 277: Pena vs. Nunes 2 ,Synthetic,1,0,0,0
Derrick Lewis,Sergei Pavlovich,217,-278,0.31545741324921134,0.7354497354497355,214,-275,3,-3,0.4199923222005241,UFC 277: Pena vs. Nunes 2 ,Synthetic,0,0,1,0
Alexandre Pantoja,Alex Perez,255,-332,0.28169014084507044,0.7685185185185185,238,-315,17,-17,0.48682837767344805,UFC 277: Pena vs. Nunes 2 ,Synthetic,0,0,1,0
Magomed Ankalaev,Anthony Smith,159,-198,0.3861003861003861,0.6644295302013423,182,-221,-23,23,0.2783291441009562,UFC 277: Pena vs. Nunes 2 ,Synthetic,0,0,0,0
Alex Morono,Matthew Semelsberger,230,-296,0.30303030303030304,0.7474747474747475,206,-272,24,-24,0.4444444444444445,UFC 277: Pena vs. Nunes 2 ,Synthetic,0,0,1,0
Drew Dober,Rafael Alves,-368,279,0.7863247863247863,0.2638522427440633,-356,267,-12,12,0.5224725435807229,UFC 277: Pena vs. Nunes 2 ,Synthetic,1,0,1,0
Don'Tale Mayes,Hamdy Abdelwahab,242,-314,0.29239766081871343,0.7584541062801933,251,-323,-9,9,0.46605644546147984,UFC 277: Pena vs. Nunes 2 ,Synthetic,0,0,1,0
Drakkar Klose,Rafa Garcia,-360,273,0.782608695652174,0.2680965147453083,-362,275,2,-2,0.5145121809068656,UFC 277: Pena vs. Nunes 2 ,Synthetic,1,0,1,0
Michael Morales,Adam Fugitt,280,-370,0.2631578947368421,0.7872340425531915,262,-352,18,-18,0.5240761478163494,UFC 277: Pena vs. Nunes 2 ,Synthetic,0,0,1,0
Joselyne Edwards,Ji Yeon Kim,-356,271,0.7807017543859649,0.2695417789757412,-362,277,6,-6,0.5111599754102236,UFC 277: Pena vs. Nunes 2 ,Synthetic,1,0,1,0
Nicolae Negumereanu,Ihor Potieria,127,-157,0.44052863436123346,0.6108949416342413,113,-143,14,-14,0.17036630727300783,UFC 277: Pena vs. Nunes 2 ,Synthetic,0,0,0,0
Orion Cosce,Blood Diamond,-348,266,0.7767857142857143,0.273224043715847,-373,291,25,-25,0.5035616705698673,UFC 277: Pena vs. Nunes 2 ,Synthetic,1,0,1,0
Curtis Blaydes,Tom Aspinall,-310,240,0.7560975609756098,0.29411764705882354,-290,220,-20,20,0.4619799139167862,UFC Fight Night: Blaydes vs. Aspinall ,Synthetic,1,0,1,0
