fighter1_name,fighter2_name,event_date,f1_avg_search_7d,f1_avg_search_30d,f1_peak_search_7d,f1_trend_direction,f2_avg_search_7d,f2_avg_search_30d,f2_peak_search_7d,f2_trend_direction,combined_buzz_7d,combined_buzz_30d,max_peak_search,buzz_differential
Uriah Hall,Andre Muniz,2025-11-15 18:27:28.866760,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Jessica Eye,Maycee Barber,2025-03-30 18:27:28.902710,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Jessica-Rose Clark,Julija Stoliarenko,2025-05-14 18:27:28.936412,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Arman Tsarukyan,Mateusz Gamrot,2025-11-06 18:27:28.966744,25.0,25.0,30,0,17.0,25.25,17,-1,42.0,50.25,30,8.0
Neil Magny,Shavkat Rakhmonov,2025-03-17 18:27:29.005638,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Josh Parisian,Alan Baudot,2025-09-02 18:27:29.045246,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Thiago Moises,Christos Giagos,2025-06-25 18:27:29.086963,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Nate Maness,Umar Nurmagomedov,2025-06-29 18:27:29.116397,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Chris Curtis,Rodolfo Vieira,2025-07-15 18:27:29.151520,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Carlos Ulberg,Tafon Nchukwi,2025-09-14 18:27:29.187736,37.0,33.6,37,1,15.0,11.6,15,1,52.0,45.2,37,22.0
Shayilan Nuerdanbieke,TJ Brown,2025-10-04 18:27:29.235069,30.0,24.5,30,1,25.0,25.0,30,0,55.0,49.5,30,5.0
Raulian Paiva,Sergey Morozov,2025-07-02 18:27:29.261932,16.0,17.25,16,1,16.0,25.5,16,-1,32.0,42.75,16,0.0
JP Buys,Cody Durden,2025-04-24 18:27:29.292276,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Brian Kelleher,Mario Bautista,2025-11-30 18:27:29.328717,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Vanessa Demopoulos,Jinh Yu Frey,2025-09-30 18:27:29.365437,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Calvin Kattar,Josh Emmett,2025-05-14 18:27:29.405586,25.0,25.0,30,0,33.0,37.25,33,1,58.0,62.25,33,8.0
Tim Means,Kevin Holland,2024-12-30 18:27:29.445510,20.0,17.2,20,-1,25.0,25.0,30,0,45.0,42.2,30,5.0
Joaquin Buckley,Albert Duraev,2025-08-17 18:27:29.490801,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Damir Ismagulov,Guram Kutateladze,2025-04-25 18:27:29.534266,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Julian Marquez,Gregory Rodrigues,2025-06-17 18:27:29.572413,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Adrian Yanez,Tony Kelley,2024-12-12 18:27:29.614126,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Jasmine Jasudavicius,Natalia Silva,2025-10-31 18:27:29.651371,25.0,25.0,30,0,29.0,43.75,29,-1,54.0,68.75,30,4.0
Court McGee,Jeremiah Wells,2024-12-30 18:27:29.695234,51.0,35.0,51,-1,25.0,25.0,30,0,76.0,60.0,51,26.0
Ricardo Ramos,Danny Chavez,2025-06-06 18:27:29.735890,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Maria Oliveira,Gloria de Paula,2025-09-14 18:27:29.769469,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Eddie Wineland,Cody Stamann,2025-05-12 18:27:29.800237,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Phil Hawes,Deron Winn,2025-08-24 18:27:29.842628,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Roman Dolidze,Kyle Daukaus,2025-11-19 18:27:29.876585,25.0,25.0,30,0,48.0,33.75,48,1,73.0,58.75,48,23.0
Glover Teixeira,Jiri Prochazka,2025-11-29 18:27:29.914258,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Valentina Shevchenko,Taila Santos,2025-09-20 18:27:29.948379,15.0,22.25,15,-1,25.0,25.0,30,0,40.0,47.25,30,10.0
Zhang Weili,Joanna Jedrzejczyk,2025-04-17 18:27:29.988891,47.0,30.75,47,1,25.0,25.0,30,0,72.0,55.75,47,22.0
Andre Fialho,Jake Matthews,2025-02-28 18:27:30.024739,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Jack Della Maddalena,Ramazan Emeev,2025-02-24 18:27:30.064484,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
SeungWoo Choi,Josh Culibao,2025-02-13 18:27:30.099455,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Maheshate,Steve Garcia,2025-01-16 18:27:30.142842,80.0,50.0,80,1,25.0,25.0,30,0,105.0,75.0,80,55.0
Brendan Allen,Jacob Malkoun,2025-07-20 18:27:30.181074,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Kyung Ho Kang,Batgerel Danaa,2025-06-20 18:27:30.221794,15.0,7.75,15,1,25.0,25.0,30,0,40.0,32.75,30,10.0
Liang Na,Silvana Gomez Juarez,2025-02-24 18:27:30.263079,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Ramona Pascual,Joselyne Edwards,2025-09-26 18:27:30.299551,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Alexander Volkov,Jairzinho Rozenstruik,2025-09-13 18:27:30.340094,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Dan Ige,Movsar Evloev,2024-12-31 18:27:30.375985,35.0,25.25,35,1,25.0,25.0,30,0,60.0,50.25,35,10.0
Michael Trizano,Lucas Almeida,2025-08-15 18:27:30.414193,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Karine Silva,Poliana Botelho,2024-12-11 18:27:30.456646,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Ode Osbourne,Zarrukh Adashev,2025-09-15 18:27:30.483336,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Alonzo Menifield,Askar Mozharov,2025-08-16 18:27:30.519892,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Felice Herrig,Karolina Kowalkiewicz,2025-02-27 18:27:30.563342,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Joe Solecki,Alex Da Silva,2025-06-03 18:27:30.598677,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Damon Jackson,Dan Argueta,2025-03-25 18:27:30.633310,19.0,47.5,19,-1,20.0,11.5,20,1,39.0,59.0,20,1.0
Niklas Stolze,Benoit Saint Denis,2025-04-19 18:27:30.674635,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Johnny Munoz,Tony Gravely,2025-04-28 18:27:30.708832,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Jeff Molina,Zhalgas Zhumagulov,2025-08-18 18:27:30.741029,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Rinat Fakhretdinov,Andreas Michailidis,2025-03-17 18:27:30.780883,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Erin Blanchfield,JJ Aldrich,2025-08-24 18:27:30.822125,11.0,14.6,11,-1,25.0,25.0,30,0,36.0,39.6,30,14.0
Holly Holm,Ketlen Vieira,2025-04-07 18:27:30.855138,25.0,25.0,30,0,15.0,15.6,15,-1,40.0,40.6,30,10.0
Santiago Ponzinibbio,Michel Pereira,2025-11-03 18:27:30.894619,25.0,25.0,30,0,33.0,24.6,33,1,58.0,49.6,33,8.0
Chidi Njokuani,Dusko Todorovic,2025-05-30 18:27:30.934359,25.0,25.0,30,0,33.0,26.75,33,1,58.0,51.75,33,8.0
Polyana Viana,Tabatha Ricci,2025-01-28 18:27:30.971564,25.0,25.0,30,0,29.0,31.75,29,-1,54.0,56.75,30,4.0
Eryk Anders,JunYong Park,2025-01-13 18:27:31.013773,16.0,11.6,16,1,25.0,25.0,30,0,41.0,36.6,30,9.0
Joseph Holmes,Alen Amedovski,2025-09-27 18:27:31.051564,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Jailton Almeida,Parker Porter,2025-08-25 18:27:31.088585,27.0,26.6,27,-1,25.0,25.0,30,0,52.0,51.6,30,2.0
Omar Morales,Uros Medic,2025-02-04 18:27:31.128128,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Jonathan Martinez,Vince Morales,2025-06-19 18:27:31.162700,25.0,25.0,30,0,18.0,37.25,18,-1,43.0,62.25,30,7.0
Chase Hooper,Felipe Colares,2025-04-19 18:27:31.202682,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Elise Reed,Sam Hughes,2025-09-10 18:27:31.242689,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Jan Blachowicz,Aleksandar Rakic,2025-10-26 18:27:31.273460,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Ryan Spann,Ion Cutelaba,2025-03-21 18:27:31.312608,25.0,25.0,30,0,5.0,5.25,5,-1,30.0,30.25,30,20.0
Davey Grant,Louis Smolka,2024-12-29 18:27:31.356200,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Katlyn Cerminara,Amanda Ribas,2024-12-09 18:27:31.394276,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Frank Camacho,Manuel Torres,2025-11-13 18:27:31.431930,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Jake Hadley,Allan Nascimento,2025-02-16 18:27:31.458206,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Viviane Araujo,Andrea Lee,2025-07-15 18:27:31.486376,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Michael Johnson,Alan Patrick,2025-09-05 18:27:31.515817,30.0,29.75,30,-1,25.0,25.0,30,0,55.0,54.75,30,5.0
Virna Jandiroba,Angela Hill,2025-05-20 18:27:31.556359,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Tatsuro Taira,Carlos Candelario,2024-12-30 18:27:31.591412,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Nick Maximov,Andre Petroski,2025-08-14 18:27:31.625867,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Charles Oliveira,Justin Gaethje,2025-07-17 18:27:31.661829,64.0,42.0,64,1,25.0,25.0,30,0,89.0,67.0,64,39.0
Rose Namajunas,Carla Esparza,2025-08-26 18:27:31.699523,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Michael Chandler,Tony Ferguson,2024-12-08 18:27:31.738178,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Mauricio Rua,Ovince Saint Preux,2025-08-14 18:27:31.780023,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Randy Brown,Khaos Williams,2025-03-04 18:27:31.817049,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Francisco Trinaldo,Danny Roberts,2025-01-06 18:27:31.856366,50.0,46.8,50,1,25.0,25.0,30,0,75.0,71.8,50,25.0
Macy Chiasson,Norma Dumont,2025-11-21 18:27:31.891130,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Brandon Royval,Matt Schnell,2025-06-28 18:27:31.925777,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Blagoy Ivanov,Marcos Rogerio de Lima,2025-07-02 18:27:31.959248,34.0,20.0,34,1,32.0,30.75,32,-1,66.0,50.75,34,2.0
Andre Fialho,Cameron VanCamp,2025-11-15 18:27:31.996601,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Tracy Cortez,Melissa Gatto,2025-03-30 18:27:32.026325,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Kleydson Rodrigues,CJ Vergara,2025-05-20 18:27:32.064368,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Ariane Carnelossi,Loopy Godinez,2025-08-21 18:27:32.101124,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Journey Newson,Fernie Garcia,2025-10-03 18:27:32.136665,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Rob Font,Marlon Vera,2025-10-05 18:27:32.168789,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Andrei Arlovski,Jake Collier,2025-07-29 18:27:32.213438,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Andre Fili,Joanderson Brito,2025-07-16 18:27:32.251276,25.0,25.0,30,0,60.0,39.0,60,1,85.0,64.0,60,35.0
Jared Gordon,Grant Dawson,2025-11-11 18:27:32.296132,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Darren Elkins,Tristan Connelly,2025-02-28 18:27:32.329216,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Krzysztof Jotko,Gerald Meerschaert,2025-04-04 18:27:32.366114,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Alexandr Romanov,Chase Sherman,2025-09-06 18:27:32.401244,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Daniel Lacerda,Francisco Figueiredo,2025-11-02 18:27:32.437283,7.0,6.0,7,1,51.0,27.2,51,1,58.0,33.2,51,44.0
Gabe Green,Yohan Lainesse,2025-07-29 18:27:32.476655,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Natan Levy,Mike Breeden,2025-07-02 18:27:32.508395,25.0,25.0,30,0,15.0,16.5,15,-1,40.0,41.5,30,10.0
Gina Mazany,Shanna Young,2025-03-14 18:27:32.547846,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Amanda Lemos,Jessica Andrade,2025-09-10 18:27:32.583696,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Clay Guida,Claudio Puelles,2025-08-27 18:27:32.623789,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Maycee Barber,Montana De La Rosa,2025-02-23 18:27:32.663218,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Lando Vannata,Charles Jourdain,2025-03-17 18:27:32.699542,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Jordan Wright,Marc-Andre Barriault,2025-03-15 18:27:32.738264,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Dwight Grant,Sergey Khandozhko,2024-12-18 18:27:32.774849,25.0,25.0,30,0,20.0,30.5,20,-1,45.0,55.5,30,5.0
Tyson Pedro,Ike Villanueva,2025-09-04 18:27:32.811504,25.0,25.0,30,0,18.0,14.0,18,1,43.0,39.0,30,7.0
Aoriqileng,Cameron Else,2025-10-27 18:27:32.851445,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Preston Parsons,Evan Elder,2025-07-23 18:27:32.885579,25.0,25.0,30,0,11.0,17.25,11,-1,36.0,42.25,30,14.0
Marcin Prachnio,Philipe Lins,2025-02-04 18:27:32.922027,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Dean Barry,Mike Jackson,2025-05-29 18:27:32.959481,54.0,36.5,54,1,25.0,25.0,30,0,79.0,61.5,54,29.0
Vicente Luque,Belal Muhammad,2025-02-03 18:27:32.997630,25.0,25.0,30,0,34.0,43.2,34,-1,59.0,68.2,34,9.0
Caio Borralho,Gadzhi Omargadzhiev,2025-08-02 18:27:33.033621,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Miguel Baeza,Andre Fialho,2025-04-25 18:27:33.072752,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Mayra Bueno Silva,Wu Yanan,2025-06-16 18:27:33.113938,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Pat Sabatini,TJ Laramie,2025-11-07 18:27:33.144396,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Mounir Lazzez,Ange Loosa,2025-09-09 18:27:33.174934,25.0,25.0,30,0,53.0,37.5,53,1,78.0,62.5,53,28.0
Devin Clark,William Knight,2025-02-03 18:27:33.211886,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Lina Lansberg,Pannie Kianzad,2025-10-20 18:27:33.246707,11.0,12.4,11,-1,25.0,25.0,30,0,36.0,37.4,30,14.0
Drakkar Klose,Brandon Jenkins,2025-08-21 18:27:33.290328,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Rafa Garcia,Jesse Ronson,2025-10-13 18:27:33.322797,25.0,25.0,30,0,28.0,26.4,28,-1,53.0,51.4,30,3.0
Chris Barnett,Martin Buday,2025-06-09 18:27:33.359942,10.0,9.2,10,-1,25.0,25.0,30,0,35.0,34.2,30,15.0
Jordan Leavitt,Trey Ogden,2025-09-19 18:27:33.396870,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Istela Nunes,Sam Hughes,2025-04-11 18:27:33.433036,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Alatengheili,Kevin Croom,2025-03-01 18:27:33.474889,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Alexander Volkanovski,Chan Sung Jung,2025-04-28 18:27:33.518535,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Aljamain Sterling,Petr Yan,2025-08-04 18:27:33.560297,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Gilbert Burns,Khamzat Chimaev,2025-08-04 18:27:33.596004,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Mackenzie Dern,Tecia Pennington,2025-09-20 18:27:33.632734,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Vinc Pichel,Mark Madsen,2025-08-03 18:27:33.671285,38.0,38.6,38,-1,25.0,25.0,30,0,63.0,63.6,38,13.0
Ian Machado Garry,Darian Weeks,2024-12-09 18:27:33.714344,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Anthony Hernandez,Josh Fremd,2025-04-03 18:27:33.746900,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Aspen Ladd,Raquel Pennington,2025-04-21 18:27:33.785649,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Mickey Gall,Mike Malott,2025-09-06 18:27:33.823499,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Aleksei Oleinik,Jared Vanderaa,2025-09-26 18:27:33.866721,16.0,15.0,16,-1,25.0,25.0,30,0,41.0,40.0,30,9.0
Piera Rodriguez,Kay Hansen,2025-09-14 18:27:33.907068,25.0,25.0,30,0,14.0,22.8,14,1,39.0,47.8,30,11.0
Julio Arce,Daniel Santos,2025-03-05 18:27:33.946651,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Curtis Blaydes,Chris Daukaus,2025-09-09 18:27:33.981794,25.0,25.0,30,0,27.0,24.75,27,1,52.0,49.75,30,2.0
Joanne Wood,Alexa Grasso,2025-01-11 18:27:34.016906,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Matt Brown,Bryan Barberena,2025-11-15 18:27:34.051869,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Askar Askarov,Kai Kara-France,2025-06-05 18:27:34.092590,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Neil Magny,Max Griffin,2025-09-27 18:27:34.132738,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Marc Diakiese,Viacheslav Borshchev,2025-01-25 18:27:34.173875,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Sara McMann,Karol Rosa,2025-06-08 18:27:34.207717,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Chris Gutierrez,Batgerel Danaa,2025-04-16 18:27:34.242117,25.0,26.25,25,-1,25.0,25.0,30,0,50.0,51.25,30,0.0
Aliaskhab Khizriev,Denis Tiuliulin,2025-08-05 18:27:34.276705,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Jennifer Maia,Manon Fiorot,2025-05-05 18:27:34.311880,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Matheus Nicolau,David Dvorak,2025-10-12 18:27:34.339080,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Luis Saldana,Bruno Souza,2025-11-12 18:27:34.379959,8.0,8.75,8,1,25.0,25.0,30,0,33.0,33.75,30,17.0
Alexander Volkov,Tom Aspinall,2025-08-18 18:27:34.416836,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Arnold Allen,Dan Hooker,2025-06-01 18:27:34.450086,8.0,12.4,8,-1,25.0,25.0,30,0,33.0,37.4,30,17.0
Paddy Pimblett,Kazula Vargas,2025-05-16 18:27:34.492694,27.0,30.75,27,-1,27.0,39.75,27,-1,54.0,70.5,27,0.0
Gunnar Nelson,Takashi Sato,2024-12-20 18:27:34.533911,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Molly McCann,Luana Carolina,2025-01-02 18:27:34.569559,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Jai Herbert,Ilia Topuria,2025-11-24 18:27:34.602184,25.0,25.0,30,0,6.0,7.2,6,1,31.0,32.2,30,19.0
Mike Grundy,Makwan Amirkhani,2025-10-14 18:27:34.641216,25.0,25.0,30,0,9.0,34.75,9,-1,34.0,59.75,30,16.0
Shamil Abdurakhimov,Sergei Pavlovich,2025-03-05 18:27:34.679959,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Nikita Krylov,Paul Craig,2024-12-15 18:27:34.710470,25.0,25.0,30,0,33.0,26.0,33,1,58.0,51.0,33,8.0
Jack Shore,Timur Valiev,2025-04-01 18:27:34.748741,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Cory McKenna,Elise Reed,2025-08-02 18:27:34.789173,32.0,36.0,32,-1,25.0,25.0,30,0,57.0,61.0,32,7.0
Muhammad Mokaev,Cody Durden,2025-05-16 18:27:34.825610,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Thiago Santos,Magomed Ankalaev,2025-02-05 18:27:34.867892,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Marlon Moraes,Song Yadong,2025-10-25 18:27:34.905055,25.0,25.0,30,0,14.0,10.25,14,1,39.0,35.25,30,11.0
Sodiq Yusuff,Alex Caceres,2025-09-03 18:27:34.946749,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Khalil Rountree Jr.,Karl Roberson,2025-02-23 18:27:34.984066,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Drew Dober,Terrance McKinney,2025-10-04 18:27:35.019160,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Alex Pereira,Bruno Silva,2025-10-19 18:27:35.055981,25.0,25.0,30,0,31.0,26.4,31,1,56.0,51.4,31,6.0
Matthew Semelsberger,AJ Fletcher,2025-06-09 18:27:35.099460,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
JJ Aldrich,Gillian Robertson,2025-08-31 18:27:35.127903,25.0,25.0,30,0,24.0,20.0,24,1,49.0,45.0,30,1.0
Trevin Jones,Javid Basharat,2025-05-09 18:27:35.173959,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Damon Jackson,Kamuela Kirk,2025-05-16 18:27:35.203736,61.0,49.5,61,1,25.0,25.0,30,0,86.0,74.5,61,36.0
Sabina Mazo,Miranda Maverick,2025-08-28 18:27:35.247011,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Dalcha Lungiambula,Cody Brundage,2025-12-06 18:27:35.290325,25.0,25.0,30,0,25.0,31.0,25,-1,50.0,56.0,30,0.0
Kris Moutinho,Guido Cannetti,2025-09-10 18:27:35.321944,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Tafon Nchukwi,Azamat Murzakanov,2025-05-19 18:27:35.359666,10.0,9.8,10,1,34.0,41.4,34,1,44.0,51.2,34,24.0
Colby Covington,Jorge Masvidal,2025-04-14 18:27:35.395604,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Rafael Dos Anjos,Renato Moicano,2025-07-06 18:27:35.426861,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Edson Barboza,Bryce Mitchell,2024-12-20 18:27:35.460278,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Kevin Holland,Alex Oliveira,2025-03-31 18:27:35.495776,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Serghei Spivac,Greg Hardy,2025-03-26 18:27:35.532644,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Jalin Turner,Jamie Mullarkey,2025-07-17 18:27:35.572317,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Marina Rodriguez,Yan Xiaonan,2025-08-13 18:27:35.610578,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Nicolae Negumereanu,Kennedy Nzechukwu,2025-11-05 18:27:35.645711,26.0,26.5,26,1,25.0,25.0,30,0,51.0,51.5,30,1.0
Maryna Moroz,Mariya Agapova,2025-01-13 18:27:35.682325,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Brian Kelleher,Umar Nurmagomedov,2025-10-24 18:27:35.716691,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Tim Elliott,Tagir Ulanbekov,2025-10-15 18:27:35.747424,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Devonte Smith,Ludovit Klein,2025-03-14 18:27:35.785765,25.0,25.0,30,0,21.0,23.25,21,1,46.0,48.25,30,4.0
Dustin Jacoby,Michal Oleksiejczuk,2025-04-14 18:27:35.819364,25.0,25.0,30,0,6.0,9.0,6,-1,31.0,34.0,30,19.0
Islam Makhachev,King Green,2025-05-14 18:27:35.861015,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Misha Cirkunov,Wellington Turman,2024-12-18 18:27:35.900168,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Ji Yeon Kim,Priscila Cachoeira,2025-07-03 18:27:35.937957,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
Arman Tsarukyan,Joel Alvarez,2025-11-06 18:27:35.984814,25.0,25.0,30,0,25.0,25.0,30,0,50.0,50.0,30,0.0
